iter	Passed	Remaining
289	1150	2816
290	1153	2810
291	1156	2803
292	1159	2797
293	1161	2789
294	1164	2783
295	1167	2775
296	1169	2767
297	1171	2760
298	1173	2752
299	1177	2746
300	1179	2739
301	1181	2731
302	1184	2725
303	1186	2717
304	1189	2711
305	1192	2705
306	1196	2700
307	1198	2692
308	1200	2684
309	1204	2681
310	1207	2674
311	1209	2667
312	1212	2661
313	1215	2655
314	1217	2648
315	1220	2641
316	1222	2633
317	1224	2626
318	1229	2624
319	1231	2617
320	1235	2612
321	1237	2605
322	1240	2599
323	1244	2595
324	1246	2588
325	1248	2581
326	1251	2575
327	1254	2569
328	1257	2564
329	1259	2557
330	1261	2550
331	1264	2544
332	1268	2540
333	1272	2537
334	1275	2531
335	1279	2527
336	1282	2523
337	1285	2516
338	1288	2511
339	1290	2505
340	1293	2499
341	1296	2494
342	1299	2488
343	1303	2485
344	1305	2479
345	1308	2473
346	1313	2472
347	1318	2469
348	1320	2462
349	1322	2455
350	1325	2451
351	1329	2447
352	1331	2441
353	1334	2435
354	1337	2429
355	1340	2424
356	1343	2420
357	1347	2416
358	1350	2410
359	1354	2407
360	1357	2402
361	1359	2396
362	1361	2389
363	1364	2383
364	1367	2379
365	1371	2375
366	1373	2369
367	1377	2365
368	1380	2361
369	1383	2356
370	1386	2350
371	1389	2344
372	1391	2339
373	1394	2334
374	1396	2328
375	1399	2322
376	1401	2316
377	1405	2312
378	1407	2306
379	1410	2301
380	1412	2295
381	1414	2288
382	1417	2283
383	1420	2278
384	1423	2273
385	1425	2267
386	1427	2261
387	1432	2259
388	1436	2255
389	1438	2249
390	1441	2244
391	1447	2245
392	1450	2240
393	1454	2237
394	1457	2232
395	1460	2227
396	1463	2222
397	1465	2217
398	1469	2213
399	1472	2208
400	1474	2203
401	1481	2203
402	1484	2199
403	1487	2194
404	1490	2190
405	1494	2187
406	1496	2181
407	1499	2175
408	1501	2170
409	1504	2165
410	1507	2160
411	1509	2155
412	1512	2149
413	1514	2144
414	1518	2140
415	1522	2137
416	1524	2131
417	1526	2125
418	1532	2124
419	1534	2119
420	1540	2117
421	1543	2113
422	1547	2110
423	1549	2105
424	1551	2099
425	1554	2094
426	1558	2091
427	1561	2086
428	1563	2081
